leaid,isd,district,county,city,enrollment,locale_code,locale,locale_cat,phone,county_disability_pct,county_cognitive_pct,county_uninsured_pct,isd_num
2703570,MN-010162,BAGLEY PUBLIC SCHOOL DISTRICT,Clearwater County,BAGLEY,921,43,Rural-Remote,Rural,(218)694-6184,33.2,15.3,8.9,162
2728140,MN-010741,Paynesville Area Schools,Stearns County,PAYNESVILLE,920,42,Rural-Distant,Rural,(320)243-3410,27.6,14.4,7.9,741
2740665,MN-012125,TRITON SCHOOL DISTRICT,Dodge County,DODGE CENTER,909,42,Rural-Distant,Rural,(507)418-7530,26.1,12.4,7.1,2125
2718070,MN-012397,LE SUEUR-HENDERSON SCHOOL DISTRICT,Le Sueur County,LE SUEUR,898,42,Rural-Distant,Rural,(507)665-4600,27.0,12.6,7.7,2397
2711190,MN-010463,EDEN VALLEY-WATKINS SCHOOL DISTRICT,Meeker County,EDEN VALLEY,896,42,Rural-Distant,Rural,(320)453-2900,29.1,13.4,7.8,463
2719320,MN-010763,MEDFORD PUBLIC SCHOOL DISTRICT,Steele County,MEDFORD,890,42,Rural-Distant,Rural,(507)451-5250,28.2,12.9,8.2,763
2715000,MN-010361,INTERNATIONAL FALLS SCHOOL DISTRICT,Koochiching County,INTERNATIONAL FALLS,888,33,Town-Remote,Town,(218)283-2571,32.7,13.3,7.3,361
2733900,MN-012170,STAPLES-MOTLEY SCHOOL DISTRICT,Todd County,STAPLES,888,43,Rural-Remote,Rural,(218)894-5400,34.5,14.7,10.4,2170
2708220,MN-010227,CHATFIELD PUBLIC SCHOOLS,Olmsted County,CHATFIELD,885,42,Rural-Distant,Rural,(507)867-4210,24.9,11.4,6.7,227
2700106,MN-012396,A.C.G.C. Public School District,Meeker County,GROVE CITY,880,42,Rural-Distant,Rural,(320)244-4712,29.1,13.4,7.8,2396
2728970,MN-012174,PINE RIVER-BACKUS SCHOOL DISTRICT,Cass County,PINE RIVER,879,43,Rural-Remote,Rural,(218)587-4720,34.1,13.3,7.4,2174
2703660,MN-010146,BARNESVILLE PUBLIC SCHOOL DIST.,Clay County,BARNESVILLE,875,42,Rural-Distant,Rural,(218)354-2217,27.4,13.9,7.2,146
2732550,MN-010139,RUSH CITY PUBLIC SCHOOL DISTRICT,Chisago County,RUSH CITY,871,42,Rural-Distant,Rural,(320)358-4855,28.4,12.7,7.0,139
2791450,MN-012711,MESABI EAST SCHOOL DISTRICT,St. Louis County,AURORA,871,43,Rural-Remote,Rural,(218)229-3321,30.8,13.7,6.8,2711
2730150,MN-010195,RANDOLPH PUBLIC SCHOOL DISTRICT,Dakota County,RANDOLPH,870,42,Rural-Distant,Rural,(507)263-2151,25.8,11.3,7.1,195
2725140,MN-010213,OSAKIS PUBLIC SCHOOL DISTRICT,Douglas County,OSAKIS,869,42,Rural-Distant,Rural,(320)859-2191,29.6,12.3,6.9,213
2705760,MN-010756,Blooming Prairie Public Schools,Steele County,BLOOMING PRAIRIE,864,43,Rural-Remote,Rural,(507)583-4426,28.2,12.9,8.2,756
2728170,MN-010548,Pelican Rapids Public Schools,Otter Tail County,PELICAN RAPIDS,860,43,Rural-Remote,Rural,(218)863-5910,30.6,12.8,7.5,548
2710140,MN-010317,DEER RIVER PUBLIC SCHOOL DISTRICT,Itasca County,DEER RIVER,852,42,Rural-Distant,Rural,(218)246-2420,32.7,13.3,7.1,317
2700125,MN-012853,Lac qui Parle Valley Schools,Lac qui Parle County,MADISON,834,43,Rural-Remote,Rural,(320)752-4835,31.4,12.4,7.3,2853
2733480,MN-010075,ST. CLAIR PUBLIC SCHOOL DISTRICT,Blue Earth County,SAINT CLAIR,820,42,Rural-Distant,Rural,(507)245-3501,28.8,15.3,7.9,75
2712360,MN-010023,FRAZEE-VERGAS PUBLIC SCHOOL DIST.,Becker County,FRAZEE,802,42,Rural-Distant,Rural,(218)334-3181,30.3,13.5,7.5,23
2723520,MN-010553,NEW YORK MILLS PUBLIC SCHOOL DIST.,Otter Tail County,NEW YORK MILLS,802,43,Rural-Remote,Rural,(218)385-4201,30.6,12.8,7.5,553
2700005,MN-012134,United South Central Schools,Faribault County,WELLS,797,43,Rural-Remote,Rural,(507)553-3134,34.3,14.3,9.3,2134
2717120,MN-010775,KERKHOVEN-MURDOCK-SUNBURG,Swift County,KERKHOVEN,797,43,Rural-Remote,Rural,(320)264-1411,33.9,14.1,9.1,775
2700089,MN-012168,NRHEG SCHOOL DISTRICT,Waseca County,NEW RICHLAND,792,43,Rural-Remote,Rural,(507)465-3205,30.7,14.0,8.9,2168
2706060,MN-010314,BRAHAM PUBLIC SCHOOL DISTRICT,Isanti County,BRAHAM,791,42,Rural-Distant,Rural,(320)396-5199,29.0,13.9,8.0,314
2718810,MN-010881,MAPLE LAKE PUBLIC SCHOOL DISTRICT,Wright County,MAPLE LAKE,786,42,Rural-Distant,Rural,(320)963-3171,26.0,12.3,6.8,881
2704470,MN-010777,BENSON PUBLIC SCHOOL DISTRICT,Swift County,BENSON,774,43,Rural-Remote,Rural,(320)843-2710,33.9,14.1,9.1,777
2711085,MN-012580,EAST CENTRAL SCHOOL DISTRICT,Pine County,FINLAYSON,765,43,Rural-Remote,Rural,(320)245-6000,33.9,14.6,8.7,2580
2700013,MN-012143,WATERVILLE-ELYSIAN-MORRISTOWN,Le Sueur County,WATERVILLE,761,42,Rural-Distant,Rural,(507)362-4432,27.0,12.6,7.7,2143
2700091,MN-012180,MACCRAY School District,Chippewa County,CLARA CITY,758,43,Rural-Remote,Rural,(320)847-2154,32.6,14.3,9.9,2180
2700104,MN-012342,WEST CENTRAL AREA,Grant County,BARRETT,750,43,Rural-Remote,Rural,(320)528-7301,32.3,14.0,8.0,2342
2717220,MN-010739,KIMBALL PUBLIC SCHOOL DISTRICT,Stearns County,KIMBALL,748,42,Rural-Distant,Rural,(320)398-5585,27.6,14.4,7.9,739
2742120,MN-010435,Waubun-Ogema-White Earth Schools,Mahnomen County,WAUBUN,741,43,Rural-Remote,Rural,(218)473-6171,42.2,19.7,11.4,435
2712900,MN-010253,GOODHUE PUBLIC SCHOOL DISTRICT,Goodhue County,GOODHUE,740,42,Rural-Distant,Rural,(651)923-4447,28.6,12.9,7.7,253
2705730,MN-010032,BLACKDUCK PUBLIC SCHOOL DISTRICT,Beltrami County,BLACKDUCK,739,43,Rural-Remote,Rural,(218)835-5200,32.7,15.7,8.2,32
2700088,MN-012167,LAKEVIEW SCHOOL DISTRICT,Lyon County,COTTONWOOD,724,43,Rural-Remote,Rural,(507)423-5164,29.1,13.6,8.5,2167
2707380,MN-010299,CALEDONIA PUBLIC SCHOOL DISTRICT,Houston County,CALEDONIA,705,42,Rural-Distant,Rural,(507)725-3389,28.5,12.2,6.8,299
2700090,MN-012169,Murray County Central Schools,Murray County,SLAYTON,701,43,Rural-Remote,Rural,(507)836-6184,31.7,13.1,8.3,2169
2700480,MN-012910,Ada-Borup-West Public Schools,Norman County,ADA,701,43,Rural-Remote,Rural,(218)784-5300,31.7,14.0,8.3,2910
2700326,MN-012904,TRACY AREA PUBLIC SCHOOL DISTRICT,Lyon County,TRACY,688,43,Rural-Remote,Rural,(507)629-5500,29.1,13.6,8.5,2904
2702910,MN-010113,WALKER-HACKENSACK-AKELEY SCHL. DIST,Cass County,WALKER,688,43,Rural-Remote,Rural,(218)547-1311,34.1,13.3,7.4,113
2700162,MN-012889,LAKE PARK AUDUBON SCHOOL DISTRICT,Becker County,LAKE PARK,685,43,Rural-Remote,Rural,(218)325-0754,30.3,13.5,7.5,2889
2703690,MN-010091,BARNUM PUBLIC SCHOOL DISTRICT,Carlton County,BARNUM,675,42,Rural-Distant,Rural,(218)389-6978,31.0,13.9,8.0,91
2717100,MN-012172,KENYON-WANAMINGO SCHOOL DISTRICT,Goodhue County,WANAMINGO,674,42,Rural-Distant,Rural,(507)789-7000,28.6,12.9,7.7,2172
2791451,MN-012835,JANESVILLE-WALDORF-PEMBERTON,Waseca County,JANESVILLE,663,42,Rural-Distant,Rural,(507)234-5181,30.7,14.0,8.9,2835
2708910,MN-010695,CHISHOLM PUBLIC SCHOOL DISTRICT,St. Louis County,CHISHOLM,658,33,Town-Remote,Town,(218)254-5726,30.8,13.7,6.8,695
2718660,MN-010432,MAHNOMEN PUBLIC SCHOOL DISTRICT,Mahnomen County,MAHNOMEN,650,43,Rural-Remote,Rural,(218)935-2211,42.2,19.7,11.4,432
2700294,MN-012902,RTR PUBLIC SCHOOLS,Lincoln County,TYLER,637,43,Rural-Remote,Rural,(507)247-5913,32.0,13.2,7.7,2902
2709330,MN-010391,CLEVELAND PUBLIC SCHOOL DISTRICT,Le Sueur County,CLEVELAND,637,42,Rural-Distant,Rural,(507)484-1300,27.0,12.6,7.7,391
2718570,MN-010837,MADELIA PUBLIC SCHOOL DISTRICT,Watonwan County,MADELIA,633,42,Rural-Distant,Rural,(507)642-3232,33.0,14.2,13.4,837
2728290,MN-010239,RUSHFORD-PETERSON PUBLIC SCHOOLS,Fillmore County,RUSHFORD,632,42,Rural-Distant,Rural,(507)864-7785,31.6,13.4,7.6,239
2700105,MN-012364,BELGRADE-BROOTEN-ELROSA SCHOOL DIST,Stearns County,BELGRADE,630,42,Rural-Distant,Rural,(320)254-8211,27.6,14.4,7.9,2364
2718960,MN-012448,MARTIN COUNTY WEST SCHOOL DISTRICT,Martin County,SHERBURN,630,43,Rural-Remote,Rural,(507)764-2330,31.8,13.4,8.4,2448
2713590,MN-010203,HAYFIELD PUBLIC SCHOOL DISTRICT,Dodge County,HAYFIELD,627,42,Rural-Distant,Rural,(507)671-1557,26.1,12.4,7.1,203
2705660,MN-012534,BIRD ISLAND-OLIVIA-LAKE LILLIAN,Renville County,OLIVIA,619,43,Rural-Remote,Rural,(320)523-1031,33.2,14.2,9.8,2534
2712300,MN-010601,FOSSTON PUBLIC SCHOOL DISTRICT,Polk County,FOSSTON,618,43,Rural-Remote,Rural,(218)435-6335,29.7,13.8,8.3,601
2712580,MN-012365,GFW Public Schools,Sibley County,GIBBON,611,43,Rural-Remote,Rural,(507)207-2200,30.4,13.9,9.0,2365
2723370,MN-010308,NEVIS PUBLIC SCHOOL DISTRICT,Hubbard County,NEVIS,609,43,Rural-Remote,Rural,(218)652-3500,30.1,12.4,6.9,308
2700099,MN-012190,YELLOW MEDICINE EAST,Yellow Medicine County,GRANITE FALLS,603,43,Rural-Remote,Rural,(320)564-4081,31.3,14.1,8.5,2190
2733390,MN-010085,SPRINGFIELD PUBLIC SCHOOL DISTRICT,Brown County,SPRINGFIELD,599,43,Rural-Remote,Rural,(507)723-4283,30.2,13.4,8.1,85
2733210,MN-010084,SLEEPY EYE PUBLIC SCHOOL DISTRICT,Brown County,SLEEPY EYE,596,43,Rural-Remote,Rural,(507)794-7903,30.2,13.4,8.1,84
2700001,MN-010712,MOUNTAIN IRON-BUHL SCHOOL DISTRICT,St. Louis County,MOUNTAIN IRON,591,33,Town-Remote,Town,(218)735-8271,30.8,13.7,6.8,712
2718090,MN-010857,Lewiston-Altura Public School Dist,Winona County,LEWISTON,591,42,Rural-Distant,Rural,(507)522-3402,29.1,14.1,7.3,857
2707470,MN-010891,CANBY PUBLIC SCHOOL DISTRICT,Yellow Medicine County,CANBY,590,43,Rural-Remote,Rural,(507)223-2001,31.3,14.1,8.5,891
2721450,MN-010097,MOOSE LAKE PUBLIC SCHOOL DISTRICT,Carlton County,MOOSE LAKE,587,43,Rural-Remote,Rural,(218)485-4435,31.0,13.9,8.0,97
2702730,MN-010511,ADRIAN PUBLIC SCHOOL DISTRICT,Nobles County,ADRIAN,585,43,Rural-Remote,Rural,(507)483-2266,33.2,15.6,16.5,511
2725050,MN-010480,ONAMIA PUBLIC SCHOOL DISTRICT,Mille Lacs County,ONAMIA,585,43,Rural-Remote,Rural,(320)532-4174,32.7,14.9,8.3,480
2723310,MN-010319,NASHWAUK-KEEWATIN SCHOOL DISTRICT,Itasca County,NASHWAUK,583,42,Rural-Distant,Rural,(218)885-1280,32.7,13.3,7.1,319
2700100,MN-012198,FILLMORE CENTRAL,Fillmore County,PRESTON,581,42,Rural-Distant,Rural,(507)765-3845,31.6,13.4,7.6,2198
2700024,MN-012176,WARREN-ALVARADO-OSLO SCHOOL DIST.,Marshall County,WARREN,580,42,Rural-Distant,Rural,(218)745-5393,31.9,13.4,8.2,2176
2706150,MN-010846,BRECKENRIDGE PUBLIC SCHOOL DISTRICT,Wilkin County,BRECKENRIDGE,577,33,Town-Remote,Town,(218)643-6822,31.3,14.0,8.0,846
2740830,MN-010550,UNDERWOOD PUBLIC SCHOOL DISTRICT,Otter Tail County,UNDERWOOD,571,42,Rural-Distant,Rural,(218)826-6101,30.6,12.8,7.5,550
2710090,MN-010378,DAWSON-BOYD PUBLIC SCHOOL DISTRICT,Lac qui Parle County,DAWSON,566,43,Rural-Remote,Rural,(320)312-2301,31.4,12.4,7.3,378
2700163,MN-012890,Renville County West Schools,Renville County,RENVILLE,561,43,Rural-Remote,Rural,(320)329-8362,33.2,14.2,9.8,2890
2700382,MN-012908,BRANDON-EVANSVILLE PUBLIC SCHOOLS,Douglas County,BRANDON,556,42,Rural-Distant,Rural,(320)834-4084,29.6,12.3,6.9,2908
2721270,MN-010414,MINNEOTA PUBLIC SCHOOL DISTRICT,Lyon County,MINNEOTA,552,42,Rural-Distant,Rural,(507)872-6175,29.1,13.6,8.5,414
2711520,MN-010696,ELY PUBLIC SCHOOL DISTRICT,St. Louis County,ELY,536,43,Rural-Remote,Rural,(218)365-6166,30.8,13.7,6.8,696
2728110,MN-010547,PARKERS PRAIRIE PUBLIC SCHOOL DIST.,Otter Tail County,PARKERS PRAIRIE,535,43,Rural-Remote,Rural,(218)338-6011,30.6,12.8,7.5,547
2706300,MN-010787,BROWERVILLE PUBLIC SCHOOL DISTRICT,Todd County,BROWERVILLE,532,43,Rural-Remote,Rural,(320)594-2272,34.5,14.7,10.4,787
2705430,MN-010786,BERTHA-HEWITT PUBLIC SCHOOL DIST.,Todd County,BERTHA,518,43,Rural-Remote,Rural,(218)924-2500,34.5,14.7,10.4,786
2700007,MN-012137,KINGSLAND PUBLIC SCHOOL DISTRICT,Fillmore County,SPRING VALLEY,517,42,Rural-Distant,Rural,(507)346-7276,31.6,13.4,7.6,2137
2723010,MN-010173,MOUNTAIN LAKE PUBLIC SCHOOLS,Cottonwood County,MOUNTAIN LAKE,509,43,Rural-Remote,Rural,(507)427-2325,32.9,14.2,10.2,173
2740920,MN-010818,VERNDALE PUBLIC SCHOOL DISTRICT,Wadena County,VERNDALE,509,42,Rural-Distant,Rural,(218)445-5184,34.4,15.1,8.8,818
2700183,MN-012898,WESTBROOK-WALNUT GROVE SCHOOLS,Cottonwood County,WESTBROOK,499,43,Rural-Remote,Rural,(507)828-6608,32.9,14.2,10.2,2898
2702720,MN-010500,SOUTHLAND PUBLIC SCHOOL DISTRICT,Mower County,ADAMS,499,42,Rural-Distant,Rural,(507)582-3283,30.9,14.5,10.6,500
2700328,MN-012903,ORTONVILLE PUBLIC SCHOOLS,Big Stone County,ORTONVILLE,497,43,Rural-Remote,Rural,(320)839-6181,32.0,13.2,7.9,2903
2711910,MN-010599,FERTILE-BELTRAMI SCHOOL DISTRICT,Polk County,FERTILE,492,43,Rural-Remote,Rural,(218)945-6983,29.7,13.8,8.3,599
2700388,MN-012907,ROUND LAKE-BREWSTER PUBLIC SCHOOLS,Nobles County,BREWSTER,490,42,Rural-Distant,Rural,(507)842-5951,33.2,15.6,16.5,2907
2723970,MN-010333,OGILVIE PUBLIC SCHOOL DISTRICT,Kanabec County,OGILVIE,482,43,Rural-Remote,Rural,(320)272-5000,33.8,14.8,8.5,333
2732970,MN-010820,SEBEKA PUBLIC SCHOOL DISTRICT,Wadena County,SEBEKA,482,43,Rural-Remote,Rural,(218)837-5101,34.4,15.1,8.8,820
2700103,MN-012311,CLEARBROOK-GONVICK SCHOOL DISTRICT,Clearwater County,CLEARBROOK,480,43,Rural-Remote,Rural,(218)776-3112,33.2,15.3,8.9,2311
2702640,MN-010424,LESTER PRAIRIE PUBLIC SCHOOL DIST.,McLeod County,LESTER PRAIRIE,459,42,Rural-Distant,Rural,(320)395-2521,29.3,13.5,8.3,424
2723550,MN-010441,MARSHALL COUNTY CENTRAL SCHOOLS,Marshall County,NEWFOLDEN,459,43,Rural-Remote,Rural,(218)874-8530,31.9,13.4,8.2,441
2717570,MN-010390,LAKE OF THE WOODS SCHOOL DISTRICT,Lake of the Woods County,BAUDETTE,458,43,Rural-Remote,Rural,(218)634-2735,31.0,12.5,7.0,390
2703030,MN-010242,ALDEN-CONGER PUBLIC SCHOOL DISTRICT,Freeborn County,ALDEN,457,42,Rural-Distant,Rural,(507)874-3240,32.7,14.2,9.8,242
2713110,MN-010166,COOK COUNTY PUBLIC SCHOOLS,Cook County,GRAND MARAIS,457,43,Rural-Remote,Rural,(218)387-2271,28.9,11.2,6.3,166
2700023,MN-012159,Buffalo Lake-Hector-Stewart,Renville County,HECTOR,446,43,Rural-Remote,Rural,(320)848-2233,33.2,14.2,9.8,2159
2791449,MN-012609,WIN-E-MAC SCHOOL DISTRICT,Polk County,ERSKINE,444,43,Rural-Remote,Rural,(218)563-2900,29.7,13.8,8.3,2609
2717910,MN-010229,LANESBORO PUBLIC SCHOOL DISTRICT,Fillmore County,LANESBORO,443,43,Rural-Remote,Rural,(507)467-2229,31.6,13.4,7.6,229
2713380,MN-010768,HANCOCK PUBLIC SCHOOL DISTRICT,Stevens County,HANCOCK,434,42,Rural-Distant,Rural,(320)392-5621,29.5,14.5,9.7,768
2711220,MN-010581,EDGERTON PUBLIC SCHOOL DISTRICT,Pipestone County,EDGERTON,430,43,Rural-Remote,Rural,(507)442-7881,32.6,14.3,9.1,581
2713140,MN-010495,GRAND MEADOW PUBLIC SCHOOL DISTRICT,Mower County,GRAND MEADOW,428,42,Rural-Distant,Rural,(507)754-5318,30.9,14.5,10.6,495
2719170,MN-010004,MCGREGOR PUBLIC SCHOOL DISTRICT,Aitkin County,MCGREGOR,428,43,Rural-Remote,Rural,(218)768-5126,34.7,13.3,7.4,4
2715510,MN-010473,ISLE PUBLIC SCHOOL DISTRICT,Mille Lacs County,ISLE,423,43,Rural-Remote,Rural,(320)676-3146,32.7,14.9,8.3,473
2741430,MN-010640,WABASSO PUBLIC SCHOOL DISTRICT,Redwood County,WABASSO,418,43,Rural-Remote,Rural,(507)342-5114,31.7,14.3,8.5,640
2742750,MN-010577,WILLOW RIVER PUBLIC SCHOOL DISTRICT,Pine County,WILLOW RIVER,415,43,Rural-Remote,Rural,(218)372-3131,33.9,14.6,8.7,577
2700132,MN-012884,RED ROCK CENTRAL SCHOOL DISTRICT,Redwood County,LAMBERTON,406,43,Rural-Remote,Rural,(507)752-7361,31.7,14.3,8.5,2884
2703750,MN-010542,BATTLE LAKE PUBLIC SCHOOL DISTRICT,Otter Tail County,BATTLE LAKE,403,43,Rural-Remote,Rural,(218)864-5215,30.6,12.8,7.5,542
2700110,MN-012754,CEDAR MOUNTAIN SCHOOL DISTRICT,Redwood County,MORGAN,396,43,Rural-Remote,Rural,(507)249-5990,31.7,14.3,8.5,2754
2730450,MN-010630,RED LAKE FALLS PUBLIC SCHOOL DIST.,Red Lake County,RED LAKE FALLS,389,43,Rural-Remote,Rural,(218)253-2139,30.9,13.3,7.6,630
2713860,MN-010545,HENNING PUBLIC SCHOOL DISTRICT,Otter Tail County,HENNING,383,43,Rural-Remote,Rural,(218)583-2927,30.6,12.8,7.5,545
2718270,MN-010362,LITTLEFORK-BIG FALLS SCHOOL DIST.,Koochiching County,LITTLEFORK,369,43,Rural-Remote,Rural,(218)278-6614,32.7,13.3,7.3,362
2742330,MN-010803,WHEATON AREA PUBLIC SCHOOL DISTRICT,Traverse County,WHEATON,368,43,Rural-Remote,Rural,(320)563-8282,33.8,13.7,8.5,803
2717940,MN-010306,Laporte Public School District,Hubbard County,LAPORTE,367,43,Rural-Remote,Rural,(218)224-2288,30.1,12.4,6.9,306
2712480,MN-010505,FULDA PUBLIC SCHOOL DISTRICT,Murray County,FULDA,364,43,Rural-Remote,Rural,(507)425-2514,31.7,13.1,8.3,505
2714040,MN-010671,HILLS-BEAVER CREEK SCHOOL DISTRICT,Rock County,HILLS,354,42,Rural-Distant,Rural,(507)962-3240,30.8,13.6,8.0,671
2733300,MN-010297,SPRING GROVE SCHOOL DISTRICT,Houston County,SPRING GROVE,353,42,Rural-Distant,Rural,(507)498-3221,28.5,12.2,6.8,297
2730870,MN-010118,NORTHLAND COMMUNITY SCHOOLS,Cass County,REMER,347,43,Rural-Remote,Rural,(218)566-2351,34.1,13.3,7.4,118
2700385,MN-012906,RED LAKE COUNTY CENTRAL PUBLIC SCH,Red Lake County,OKLEE,342,43,Rural-Remote,Rural,(218)796-5136,30.9,13.3,7.6,2906
2738280,MN-010486,SWANVILLE PUBLIC SCHOOL DISTRICT,Morrison County,SWANVILLE,341,43,Rural-Remote,Rural,(320)547-5100,30.1,13.7,7.7,486
2723580,MN-010507,NICOLLET PUBLIC SCHOOL DISTRICT,Nicollet County,NICOLLET,338,42,Rural-Distant,Rural,(507)232-3411,28.3,13.4,7.3,507
2744190,MN-010100,WRENSHALL PUBLIC SCHOOL DISTRICT,Carlton County,WRENSHALL,336,42,Rural-Distant,Rural,(218)384-4274,31.0,13.9,8.0,100
2700150,MN-012888,CLINTON-GRACEVILLE-BEARDSLEY,Big Stone County,CLINTON,328,43,Rural-Remote,Rural,(320)325-5282,32.0,13.2,7.9,2888
2717010,MN-010036,KELLIHER PUBLIC SCHOOL DISTRICT,Beltrami County,KELLIHER,328,43,Rural-Remote,Rural,(218)647-8286,32.7,15.7,8.2,36
2740860,MN-010487,UPSALA PUBLIC SCHOOL DISTRICT,Morrison County,UPSALA,327,42,Rural-Distant,Rural,(320)573-2174,30.1,13.7,7.7,487
2703300,MN-010261,ASHBY PUBLIC SCHOOL DISTRICT,Grant County,ASHBY,320,43,Rural-Remote,Rural,(218)747-2257,32.3,14.0,8.0,261
2732460,MN-010850,ROTHSAY PUBLIC SCHOOL DISTRICT,Wilkin County,ROTHSAY,312,43,Rural-Remote,Rural,(218)867-2117,31.3,14.0,8.0,850
2718360,MN-010497,LYLE PUBLIC SCHOOL DISTRICT,Mower County,LYLE,309,42,Rural-Distant,Rural,(507)325-2201,30.9,14.5,10.6,497
2713040,MN-012536,Granada Huntley East Chain,Martin County,GRANADA,303,42,Rural-Distant,Rural,(507)447-2211,31.8,13.4,8.4,2536
2709690,MN-010095,CROMWELL-WRIGHT PUBLIC SCHOOLS,Carlton County,CROMWELL,301,43,Rural-Remote,Rural,(218)644-3737,31.0,13.9,8.0,95
2707590,MN-010093,CARLTON PUBLIC SCHOOL DISTRICT,Carlton County,CARLTON,296,31,Town-Fringe,Town,(218)384-4225,31.0,13.9,8.0,93
2713930,MN-010330,HERON LAKE-OKABENA SCHOOL DISTRICT,Jackson County,OKABENA,290,43,Rural-Remote,Rural,(507)853-4507,30.5,12.7,7.7,330
2740810,MN-010914,ULEN-HITTERDAL PUBLIC SCHOOL DIST,Clay County,ULEN,285,42,Rural-Distant,Rural,(218)596-8853,27.4,13.9,7.2,914
2718540,MN-010238,Mabel-Canton Public School District,Fillmore County,MABEL,280,43,Rural-Remote,Rural,(507)493-5422,31.6,13.4,7.6,238
2700127,MN-012856,STEPHEN-ARGYLE CENTRAL SCHOOLS,Marshall County,STEPHEN,276,43,Rural-Remote,Rural,(218)478-3315,31.9,13.4,8.2,2856
2713020,MN-010561,GOODRIDGE PUBLIC SCHOOL DISTRICT,Pennington County,GOODRIDGE,264,43,Rural-Remote,Rural,(218)378-4133,30.7,13.9,7.9,561
2718060,MN-010499,LEROY-OSTRANDER PUBLIC SCHOOLS,Mower County,LEROY,250,43,Rural-Remote,Rural,(507)324-5743,30.9,14.5,10.6,499
2714010,MN-010002,HILL CITY PUBLIC SCHOOL DISTRICT,Aitkin County,HILL CITY,242,43,Rural-Remote,Rural,(218)697-2394,34.7,13.3,7.4,2
2740680,MN-010458,TRUMAN PUBLIC SCHOOL DISTRICT,Martin County,TRUMAN,241,42,Rural-Distant,Rural,(507)776-2111,31.8,13.4,8.4,458
2791447,MN-012171,KITTSON CENTRAL SCHOOL DISTRICT,Kittson County,HALLOCK,241,43,Rural-Remote,Rural,(218)843-3682,31.0,12.5,7.0,2171
2712180,MN-010600,FISHER PUBLIC SCHOOL DISTRICT,Polk County,FISHER,233,42,Rural-Distant,Rural,(218)891-4105,29.7,13.8,8.3,600
2713680,MN-010402,HENDRICKS PUBLIC SCHOOL DISTRICT,Lincoln County,HENDRICKS,231,43,Rural-Remote,Rural,(507)275-3115,32.0,13.2,7.7,402
2700107,MN-012683,Greenbush Middle River Schools,Roseau County,GREENBUSH,226,43,Rural-Remote,Rural,(218)782-2232,30.7,13.8,7.8,2683
2700148,MN-012886,GLENVILLE-EMMONS SCHOOL DISTRICT,Freeborn County,GLENVILLE,224,42,Rural-Distant,Rural,(507)448-2889,32.7,14.2,9.8,2886
2703540,MN-010676,BADGER PUBLIC SCHOOL DISTRICT,Roseau County,BADGER,222,43,Rural-Remote,Rural,(218)528-3201,30.7,13.8,7.8,676
2707320,MN-010836,Butterfield-Odin Public Schools,Watonwan County,BUTTERFIELD,210,43,Rural-Remote,Rural,(507)956-2771,33.0,14.2,13.4,836
2717880,MN-010356,LANCASTER PUBLIC SCHOOL DISTRICT,Kittson County,LANCASTER,202,43,Rural-Remote,Rural,(218)762-5400,31.0,12.5,7.0,356
2700101,MN-012215,NORMAN COUNTY EAST SCHOOL DISTRICT,Norman County,TWIN VALLEY,199,43,Rural-Remote,Rural,(218)584-5151,31.7,14.0,8.3,2215
2707110,MN-010801,Browns Valley Public School Dist,Traverse County,BROWNS VALLEY,197,43,Rural-Remote,Rural,(320)695-2103,33.8,13.7,8.5,801
2709360,MN-010592,CLIMAX-SHELLY PUBLIC SCHOOLS,Polk County,CLIMAX,186,42,Rural-Distant,Rural,(218)857-2385,29.7,13.8,8.3,592
2732700,MN-010363,SOUTH KOOCHICHING SCHOOL DISTRICT,Koochiching County,NORTHOME,182,43,Rural-Remote,Rural,(218)897-5275,32.7,13.3,7.3,363
2791446,MN-012358,TRI-COUNTY SCHOOL DISTRICT,Kittson County,KARLSTAD,176,43,Rural-Remote,Rural,(218)436-2261,31.0,12.5,7.0,2358
2718390,MN-010415,LYND PUBLIC SCHOOL DISTRICT,Lyon County,LYND,160,42,Rural-Distant,Rural,(507)865-4404,29.1,13.6,8.5,415
2712210,MN-010698,FLOODWOOD PUBLIC SCHOOL DISTRICT,St. Louis County,FLOODWOOD,158,43,Rural-Remote,Rural,(218)476-2285,30.8,13.7,6.8,698
2708940,MN-010771,Chokio-Alberta Public Schools,Stevens County,CHOKIO,140,43,Rural-Remote,Rural,(320)324-7131,29.5,14.5,9.7,771
2707450,MN-010852,Campbell-Tintah Public Schools,Wilkin County,CAMPBELL,128,43,Rural-Remote,Rural,(218)630-5311,31.3,14.0,8.0,852
2711460,MN-010514,ELLSWORTH PUBLIC SCHOOL DISTRICT,Nobles County,ELLSWORTH,128,43,Rural-Remote,Rural,(507)967-2242,33.2,15.6,16.5,514
2718920,MN-010447,GRYGLA PUBLIC SCHOOL DISTRICT,Marshall County,GRYGLA,125,43,Rural-Remote,Rural,(218)294-6155,31.9,13.4,8.2,447
2717460,MN-010404,LAKE BENTON PUBLIC SCHOOL DISTRICT,Lincoln County,LAKE BENTON,113,43,Rural-Remote,Rural,(507)368-4235,32.0,13.2,7.7,404
2709540,MN-010081,COMFREY PUBLIC SCHOOL DISTRICT,Brown County,COMFREY,105,43,Rural-Remote,Rural,(507)877-3491,30.2,13.4,8.1,81
